,distance_0,pval_0,distance_1,pval_1,distance_2,pval_2,distance_3,pval_3,distance_4,pval_4,distance_5,pval_5,distance_6,pval_6,distance_7,pval_7,distance_8,pval_8,distance_9,pval_9,distance_10,pval_10,distance_11,pval_11,distance_12,pval_12,distance_13,pval_13,distance_14,pval_14,distance_15,pval_15,distance_16,pval_16,distance_17,pval_17,distance_18,pval_18,distance_19,pval_19,pval_mean,pval_std,distance_mean,distance_std,pval_mean_log,distance_mean_log,region_name,source,is_enhancer,num_sgRNA,num_cells
OR10H5,12.55810546875,0.0,13.7427978515625,0.0,11.3199462890625,0.0,9.7021484375,0.0,11.9393310546875,0.0,13.9844970703125,0.0,12.0274658203125,0.0,11.7874755859375,0.0,10.2860107421875,0.0,14.962646484375,0.0,14.262451171875,0.0,11.703125,0.0,15.5958251953125,0.0,9.7767333984375,0.0,12.1256103515625,0.0,11.915771484375,0.0,12.8272705078125,0.0,9.419921875,0.0,12.0596923828125,0.0,11.25830078125,0.0,0.0,0.0,12.16275634765625,1.70543895074319,5.0,1.0850320067563117,OR10H5,Control,False,6,1065
OR12D3,8.4217529296875,0.0,9.4306640625,0.0,9.6148681640625,0.0,6.4029541015625,0.0,9.1490478515625,0.0,10.1458740234375,0.0,9.1876220703125,0.0,9.959228515625,0.0,7.6771240234375,0.0,11.349609375,0.0,10.79541015625,0.0,8.3695068359375,0.0,13.263427734375,0.0,6.3592529296875,0.0,11.0318603515625,0.0,9.9571533203125,0.0,9.1187744140625,0.0,5.757568359375,0.0,7.63134765625,0.0,6.9393310546875,0.0,0.0,0.0,9.028118896484376,1.8869493957166237,5.0,0.9555972699169194,OR12D3,Control,False,6,1457
OR5M8,8.3721923828125,0.0,9.1153564453125,0.0,8.6693115234375,0.0,5.7586669921875,0.004,8.521484375,0.0,10.2691650390625,0.0,8.2933349609375,0.0,8.427978515625,0.0,6.7413330078125,0.0,11.1112060546875,0.0,9.861572265625,0.0,7.9552001953125,0.0,11.840087890625,0.0,5.7401123046875,0.005,9.412353515625,0.0,8.93603515625,0.0,8.7435302734375,0.0,5.5115966796875,0.007,7.583740234375,0.001,6.985107421875,0.001,0.0009000000000000001,0.00199736668746891,8.39246826171875,1.699343249911454,3.0409586076789066,0.9238897075266661,OR5M8,Control,False,6,982
chr1:236686500-236686619,8.1297607421875,0.0,7.5703125,0.002,6.4921875,0.001,6.1070556640625,0.003,6.7059326171875,0.0,8.476806640625,0.0,7.2298583984375,0.0,7.082275390625,0.0,6.0174560546875,0.002,8.8712158203125,0.0,8.196044921875,0.001,6.5985107421875,0.001,9.198486328125,0.0,6.298583984375,0.003,7.5003662109375,0.001,6.5513916015625,0.002,7.7669677734375,0.0,5.5240478515625,0.002,8.0140380859375,0.0,7.693359375,0.0,0.0009000000000000001,0.0010711528467275953,7.30123291015625,1.0073479143036865,3.0409586076789066,0.863396202704895,ACTN2_P1P2,OpenTargets,False,5,981
chr3:38453852-38454326,15.4332275390625,0.0,14.8511962890625,0.0,20.581787109375,0.0,16.3641357421875,0.0,16.6925048828125,0.0,15.322509765625,0.0,15.779052734375,0.0,19.0721435546875,0.0,15.2437744140625,0.0,15.959716796875,0.0,16.83251953125,0.0,14.744140625,0.0,19.4388427734375,0.0,16.793701171875,0.0,20.273193359375,0.0,17.3399658203125,0.0,17.9451904296875,0.0,13.2347412109375,0.0,15.989501953125,0.0,16.6119384765625,0.0,0.0,0.0,16.725189208984375,1.9171506306017283,5.0,1.2233710395611186,ACVR2B_P1P2,"OpenTargets,CHDgene.au",False,5,2143
chr18:80109299-80109786,18.3458251953125,0.0,18.31591796875,0.0,18.6719970703125,0.0,21.33642578125,0.0,19.2984619140625,0.0,16.66162109375,0.0,17.26806640625,0.0,18.3067626953125,0.0,20.0733642578125,0.0,17.2962646484375,0.0,19.548095703125,0.0,20.0921630859375,0.0,16.070556640625,0.0,20.7869873046875,0.0,17.107666015625,0.0,17.8553466796875,0.0,19.503173828125,0.0,21.945556640625,0.0,18.109619140625,0.0,20.404541015625,0.0,0.0,0.0,18.849920654296874,1.6052275132020737,5.0,1.2753095264530288,ADNP2_P1P2,TFPerturbSeq,False,5,1052
chr5:132963540-132963638,9.3414306640625,0.0,8.3226318359375,0.0,8.9615478515625,0.0,11.8687744140625,0.0,8.7474365234375,0.0,7.2222900390625,0.0,7.820556640625,0.0,9.3944091796875,0.0,10.218505859375,0.0,7.50244140625,0.0,7.1751708984375,0.0,9.7386474609375,0.0,7.7239990234375,0.0,12.0885009765625,0.0,8.3680419921875,0.0,7.3895263671875,0.0,8.7247314453125,0.0,11.529541015625,0.0,10.0419921875,0.0,10.810302734375,0.0,0.0,0.0,9.14952392578125,1.5514107798557495,5.0,0.9613984971500406,AFF4_P1P2,TFPerturbSeq,False,5,2757
chr2:202376237-202376395,15.8204345703125,0.0,15.935791015625,0.0,13.7398681640625,0.0,18.2459716796875,0.0,15.34521484375,0.0,15.1636962890625,0.0,15.418701171875,0.0,15.6402587890625,0.0,18.0794677734375,0.0,15.784423828125,0.0,14.19921875,0.0,17.6229248046875,0.0,15.576416015625,0.0,17.5361328125,0.0,14.423095703125,0.0,14.451171875,0.0,13.88720703125,0.0,19.932373046875,0.0,16.473876953125,0.0,15.6029052734375,0.0,0.0,0.0,15.94395751953125,1.6173936405025149,5.0,1.2025961285764162,BMPR2_P1P2,CHDgene.au,False,3,759
chr15:83284408-83284667,13.7366943359375,0.0,14.667724609375,0.0,12.9599609375,0.0,10.2283935546875,0.0,13.5330810546875,0.0,14.9853515625,0.0,13.6817626953125,0.0,13.477294921875,0.0,11.5662841796875,0.0,16.7276611328125,0.0,15.73779296875,0.0,12.9346923828125,0.0,17.7198486328125,0.0,10.4210205078125,0.0,13.865478515625,0.0,13.71923828125,0.0,13.86865234375,0.0,10.1561279296875,0.0,12.5477294921875,0.0,11.4368896484375,0.0,0.0,0.0,13.398583984375,2.0246340470551147,5.0,1.1270589028224791,BNC1_P1P2,TFPerturbSeq,False,5,1703
chr17:67825489-67825611,18.886474609375,0.0,17.9952392578125,0.0,17.707275390625,0.0,23.0250244140625,0.0,18.88037109375,0.0,17.44482421875,0.0,17.728759765625,0.0,17.918701171875,0.0,20.99658203125,0.0,16.3218994140625,0.0,17.5755615234375,0.0,19.2529296875,0.0,14.2506103515625,0.0,22.1805419921875,0.0,16.8350830078125,0.0,17.0242919921875,0.0,18.956787109375,0.0,22.774658203125,0.0,20.4688720703125,0.0,22.90625,0.0,0.0,0.0,18.956536865234376,2.4089245864420143,5.0,1.27775899979035,BPTF_P1P2,TFPerturbSeq,False,5,2016
chr17:4987228-4987616,28.8004150390625,0.0,29.747802734375,0.0,27.5029296875,0.0,23.3623046875,0.0,27.69140625,0.0,30.339599609375,0.0,28.1845703125,0.0,28.170654296875,0.0,25.3004150390625,0.0,32.8150634765625,0.0,31.540283203125,0.0,27.429443359375,0.0,34.196533203125,0.0,23.4674072265625,0.0,29.4443359375,0.0,28.2044677734375,0.0,28.928466796875,0.0,22.7349853515625,0.0,26.64697265625,0.0,25.0682373046875,0.0,0.0,0.0,27.978814697265626,3.030401740780817,5.0,1.4468293119663624,CAMTA2_P1P2,TFPerturbSeq,False,4,532
